Name,md5,Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,malware
VirusShare_7c473937360434ac3620765c717f624b,7c473937360434ac3620765c717f624b,332,224,258,8,0,7680,297984,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,327680,1024,352697,2,34112,1048576,4096,1048576,4096,0,16,7,4.94227502627,0.0,7.99872365953,43666.2857143,0,165376,43640.7142857,348,165376,3,41,0,0,6,3.41486539292,2.12856790152,5.15540854179,1314.16666667,48,3752,0,23,1
VirusShare_f90741d2c50dc8d1cf5b597ea1c454f0,f90741d2c50dc8d1cf5b597ea1c454f0,332,224,258,10,0,120320,385024,0,61658,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,520210,2,33088,1048576,4096,1048576,4096,0,16,5,5.63083047956,4.05523079353,7.96309190478,101068.8,9728,330752,102625.0,9400,339684,2,87,0,0,6,3.67288130951,2.45849222582,5.31755235629,2738.83333333,48,9640,72,15,1
VirusShare_65ddbade0244b088ef10ed448fcd8aa4,65ddbade0244b088ef10ed448fcd8aa4,332,224,33167,2,25,532480,28672,905216,1438576,909312,1441792,4194304.0,4096,512,4,0,0,0,4,0,1470464,4096,0,2,0,1048576,16384,1048576,4096,0,16,3,4.02841401397,0.0,7.92775262119,185514.666667,0,529920,488789.333333,28672,905216,9,14,0,0,261,4.87387336232,0.0,7.91455740623,2371.651341,16,206742,0,18,1
VirusShare_9beb01dc2bda282eb322ee8f38f6ff5c,9beb01dc2bda282eb322ee8f38f6ff5c,332,224,258,10,0,118272,380416,0,59610,4096,122880,4194304.0,4096,512,5,1,0,0,5,1,516096,1024,545609,2,33088,1048576,4096,1048576,4096,0,16,5,5.65942634034,4.21793765714,7.97742341552,99737.6,9728,331264,101043.0,9304,330808,6,107,0,0,22,6.82540564069,2.61702640237,7.99048736758,14981.9090909,48,22648,72,14,1
VirusShare_2b6e07ce275fbe5fcbab86f2341fbd2d,2b6e07ce275fbe5fcbab86f2341fbd2d,332,224,258,10,0,120320,385024,0,61578,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,526603,2,33088,1048576,4096,1048576,4096,0,16,5,5.64644365076,4.11726411592,7.96277585234,101068.8,9728,330752,102623.8,9404,339652,3,89,0,0,6,3.72982390563,2.45849222582,5.31755235629,2739.5,48,9640,72,15,1
VirusShare_82e65ffd0def6174bd9ab73b5e16b14f,82e65ffd0def6174bd9ab73b5e16b14f,332,224,271,6,0,24064,308224,8192,12538,4096,28672,4194304.0,4096,512,4,0,6,0,4,0,1552384,1024,0,2,32768,1048576,4096,1048576,4096,0,16,5,4.16874972384,0.0,6.43879960537,6553.6,0,24064,308286.4,2552,1212416,8,155,1,0,6,3.14981126293,2.16096404744,5.20032677549,356.333333333,20,744,0,0,1
VirusShare_b71161edb25cf718765ed447518f7975,b71161edb25cf718765ed447518f7975,332,224,258,8,0,7680,309760,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,339968,1024,345216,2,34112,1048576,4096,1048576,4096,0,16,7,4.91984421039,0.0,7.9980405889,45348.5714286,0,177152,45323.0,348,177152,3,41,0,0,6,3.6893896999,2.24157991134,5.15540854179,1314.16666667,48,3752,0,23,1
VirusShare_0cb43574721c55cb15181945bbb98b78,0cb43574721c55cb15181945bbb98b78,332,224,258,11,0,276480,182272,0,197793,4096,282624,4194304.0,4096,512,5,1,0,0,5,1,471040,1024,0,2,33088,1048576,4096,1048576,4096,0,16,5,4.72720156961,2.31325597525,6.35552540505,89907.2,7168,276480,91491.8,16340,276113,7,133,0,0,7,3.91441475516,1.44168828354,7.67709054366,7298.42857143,16,28438,72,0,1
VirusShare_c3cbdaa375a21cb2e8abe99b1d32a7d5,c3cbdaa375a21cb2e8abe99b1d32a7d5,332,224,259,9,0,153088,44032,0,120616,4096,159744,4194304.0,4096,512,5,0,0,0,5,0,339968,1024,0,2,33024,1048576,4096,1048576,4096,0,16,4,4.90280855077,2.54741367777,6.69647006415,49280.0,5120,153088,81956.75,18072,152808,10,211,1,0,21,3.4349244144,2.65869306903,5.22791985667,797.238095238,48,2998,72,0,1
VirusShare_e4764cf15559bb8e3633967ceceb6e4d,e4764cf15559bb8e3633967ceceb6e4d,332,224,258,10,0,119808,375808,0,60996,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,516096,1024,513241,2,33088,1048576,4096,1048576,4096,0,16,5,5.65987399994,4.14138884647,7.98180690976,99123.2,9728,326144,100442.2,9398,326048,7,113,0,0,19,6.86163069986,2.549419892,7.99165774602,17103.3157895,48,25431,72,15,1
